Team,Conf,Adjusted Tempo,Raw,Average Possession Length Offense,Average Possession Length Defense,Adjusted Off. Efficiency,Raw,Adjusted Def. Efficiency,Raw
Presbyterian,BSth,64.3,65.7,18.9,17.5,105.2,106.9,110.6,110.2
Princeton,Ivy,66.7,68.2,18,17.2,105.8,105.4,106.8,105.4
Providence,BE,66.4,66.6,18.1,18,113,106.9,105.2,107.7
,,Tempo,,Avg. Poss Length,,Off. Efficiency,,Def. Efficiency,
Team,Conf,Adjusted,Raw,Offense,Defense,Adjusted,Raw,Adjusted,Raw
Purdue,B10,65.3,66.6,18.7,17.5,124,116.2,99.3,105.1
Purdue Fort Wayne,Horz,69.7,70.1,16.8,17.5,110.4,112.3,110.5,107.8
Queens,ASun,68.9,70,17,17.2,106.2,107.5,110.3,107.7
Quinnipiac,MAAC,72,71.8,15.8,17.9,101.8,103,104.7,99.5
Radford,BSth,63.1,64.6,19.4,17.4,110.2,110.6,109.7,109.3
Rhode Island,A10,70.5,70.8,16.5,17.6,109.1,107.7,107.1,104.1
Rice,Amer,65.5,65.9,18.1,18.1,109.1,108,109.3,106
Richmond,A10,63.9,64.3,19.6,17.8,103.4,100.1,109.5,111
Rider,MAAC,65.1,65.4,19.2,17.2,101,100.9,115.1,110.3
Robert Morris,Horz,68.1,68.9,18,16.8,106.1,109,105.2,101.2
Rutgers,B10,68.8,69.8,16.9,17.6,116.2,109.3,104.6,108.7
Sacramento St.,BSky,65.6,65.7,18.4,17.9,95.6,96.4,113.4,111.9
Sacred Heart,MAAC,70.3,70.3,16.2,17.7,105.6,106.8,113.9,108.2
Saint Francis,NEC,67,66.9,18,17.8,101.3,101.2,115.2,110.3
Saint Joseph's,A10,68.1,68.3,17.4,17.7,111.7,109.9,100.7,98.8
Saint Louis,A10,67.4,68.2,17,18,109.4,107,103.8,103.6
Saint Mary's,WCC,62,63.5,20.1,17.4,117,115.8,93.5,96
Saint Peter's,MAAC,63.6,64.5,19.7,17.5,96.3,98.8,107.4,102.8
Sam Houston St.,CUSA,67.6,68.1,17.9,17.4,110.4,105.2,110.9,111.5
Samford,SC,71,71.5,15.7,17.6,113.1,113.9,107.8,105
San Diego,WCC,71,71.6,16.6,17,99.7,97.5,110.2,111.4
San Diego St.,MWC,65.9,66.3,18.1,18.4,110.5,105.4,93.7,95.9
San Francisco,WCC,67.5,68.5,17.9,17,112.3,110.3,99.8,100.1
San Jose St.,MWC,66.3,66.5,19,17.1,108.7,104.8,109.4,110.7
Santa Clara,WCC,69.1,70,16.8,17.6,116.8,114.6,101.7,102.4
Seattle,WAC,65.9,67.4,18,17.4,106.1,103.3,104.7,102.1
Seton Hall,BE,64.4,64.8,19.1,17.8,99.9,94.7,102.4,105.5
Siena,MAAC,66.9,67.4,18.4,17.1,103.8,105.2,109.9,104.2
SIUE,OVC,66.4,67.4,17.5,17.9,101.9,104.2,107.5,100.9
SMU,ACC,69,69.5,16.2,18.3,118.5,117.1,102,104
South Alabama,SB,63.1,63.9,18.3,19,107.6,108.6,103.4,99.3
South Carolina,SEC,65.6,67,18.5,17.4,110.4,104,98.7,105.3
South Carolina St.,MEAC,68.8,70.5,17.2,16.6,104.1,106.2,106.8,101.9
South Dakota,Sum,74.5,74.9,14.7,17.5,110.4,113.1,116,115.2
South Dakota St.,Sum,69,69.9,17,17.2,110.9,113.3,107.1,107
South Florida,Amer,68.4,69.8,16.1,18.1,104.7,105.3,107.1,107
Southeast Missouri,OVC,68.8,69,17.1,17.8,103.3,104.8,106.3,100.2
Southeastern Louisiana,Slnd,67.3,67.4,17.8,17.7,105,105.3,107.5,104
Southern,SWAC,69.1,70.5,17,17.2,100.5,100.4,105.3,99.1
Southern Illinois,MVC,68.1,68,17.2,17.9,105.6,105.2,107.2,108.4
,,Tempo,,Avg. Poss Length,,Off. Efficiency,,Def. Efficiency,
Team,Conf,Adjusted,Raw,Offense,Defense,Adjusted,Raw,Adjusted,Raw
Southern Indiana,OVC,67.1,68.1,17.4,17.5,98.8,100.8,115.4,109.1
Southern Miss,SB,71.3,71.3,16.7,16.8,98.2,97.6,108.9,106.9
Southern Utah,WAC,69,70.1,17.9,16.2,100.6,97.4,110.5,108.4
St. Bonaventure,A10,63.9,64.8,18.3,18.5,108.1,106.9,101.7,100.1
St. John's,BE,70,70.3,15.7,18.4,113.7,110.1,89.1,92.2
St. Thomas,Sum,67.8,69.3,17.4,17.3,114.7,117.5,111.4,110
Stanford,ACC,66.7,67.5,18.2,17.3,112.9,110.4,103.5,105.1
Stephen F. Austin,Slnd,67.3,67.2,18,17.5,95.2,95,104.2,100.7
Stetson,ASun,67.6,68.8,18.1,16.9,100.1,100.5,119,118.2
Stonehill,NEC,65.2,65.7,18.8,17.5,101.9,103.4,115.4,107.9
Stony Brook,CAA,64.7,64.6,19.4,17.6,102,101.1,117.6,115.7
Syracuse,ACC,68.6,69.2,18.3,16.4,110.6,106.1,107.3,111.4
Tarleton St.,WAC,65.7,67.5,19.8,15.5,94.4,90.3,104.4,105
TCU,B12,66.8,67.3,17.7,18.3,107,101,97.2,101.8
Temple,Amer,68.9,69.7,17.4,17,110.1,109.3,110.7,109.6
Tennessee,SEC,63.8,65.7,18.2,18.6,118.4,113.3,87.1,93.3
Tennessee Martin,OVC,66.8,67.2,17.8,17.8,100.6,101.1,111.8,105.9
Tennessee St.,OVC,71,71.8,16.6,16.6,102.2,104.2,110,103.3
Tennessee Tech,OVC,68,68.7,17.1,17.6,101.3,102.4,113.6,107.2
Texas,SEC,67.3,68.4,16.9,18.2,116.6,113.4,100.6,103
Texas A&M,SEC,66.7,67.8,17.1,18.1,115.8,108.9,92.9,99.2
Texas A&M Corpus Chris,Slnd,67.8,68,17.5,17.6,106.4,106.5,106.9,104.9
Texas Southern,SWAC,70,71.4,16.2,17.2,95.6,96.8,106.1,100.9
Texas St.,SB,65.9,66.7,18.3,17.5,111.1,109.9,113.4,109.4
Texas Tech,B12,65.7,66.6,18,17.9,124.2,118.8,96.6,98.3
The Citadel,SC,64.5,65.3,19.1,17.3,96,95.4,117.4,116.7
Toledo,MAC,68.2,69.2,17,17.6,110.8,109.7,117.9,115.4
Towson,CAA,63.6,64,19.3,18.3,106.8,106.3,105.8,103.5
Troy,SB,66.1,66.6,18.1,17.8,106.8,107.3,101.7,99.2
Tulane,Amer,67,67.7,17.3,18,107.9,108.2,107.2,104.3
Tulsa,Amer,66.2,67.5,18.1,17.3,100.6,101.6,110.7,108
UAB,Amer,69,69.7,17,17.3,117.6,117.9,112.2,108.9
UC Davis,BW,67.4,68.5,17.4,17.6,97.1,96.9,102.8,102.2
UC Irvine,BW,68.8,69.5,17.6,16.8,105.5,105.3,94,92.8
UC Riverside,BW,67.3,67.8,18,17.3,110.6,107.7,108.7,108.9
UC San Diego,BW,66.1,67.5,17.2,18.3,116.2,117,97.6,94.1
UC Santa Barbara,BW,65.3,66.3,18.2,17.7,109.3,110.6,107.5,103.3
